BlockGroup,AvgReduxinNighttimeAnnualTemp_Celsius,PercentPopIncomeBelow2xPovertyLevel,Percent_GreenSpace,long,lat
3.71E+11,0.847667,56.50623886,67.91999817,-78.88460488,36.02022844
3.71E+11,0.907226,42.75788348,73.30000305,-78.8838644,36.02885952
3.71E+11,0.825103,52.4137931,70.12000275,-78.90368904,36.02326272
3.71E+11,0.741116,41.38785626,65.33000183,-78.90122109,36.03312664
3.71E+11,0.742552,62.67837541,64.83999634,-78.88002715,36.00959211
3.71E+11,0.690315,54.52436195,63.52999878,-78.89177338,36.00522303
3.71E+11,0.960217,28.82797732,75.87000275,-78.89539737,36.00986406
3.71E+11,0.46284,62.7430911,43.97000122,-78.91069399,36.01965863
3.71E+11,0.861752,28.18897638,69.48000336,-78.9144127,36.01516696
3.71E+11,0.967994,24.01574803,72.12999725,-78.91467542,36.01156011
3.71E+11,1.049724,18.77934272,81.01999664,-78.90302361,36.01501127
3.71E+11,1.001626,40.60606061,76.55999756,-78.90378381,36.01146324
3.71E+11,0.901283,54.21760391,69.40000153,-78.9065127,36.00731602
3.71E+11,0.791461,9.309791332,72.15000153,-78.9270117,36.02498007
3.71E+11,0.964205,25.72178478,78.13999939,-78.92698965,36.01946431
3.71E+11,0.527745,31.35435993,65.61000061,-78.9380664,36.02093514
3.71E+11,0.583461,34.79749002,51.41999817,-78.92812022,36.01248291
3.71E+11,0.699625,94.90131579,67,-78.9251309,36.00395296
3.71E+11,0.862927,35.24451939,66.87999725,-78.91797012,35.99957401
3.71E+11,0.700161,60.39325843,63.16999817,-78.91869384,35.99454215
3.71E+11,0.801081,65.52984166,66.11000061,-78.91985634,35.98927044
3.71E+11,0.887973,63.72575799,72.05999756,-78.92759374,35.97914725
3.71E+11,0.973152,42.69911504,75.70999908,-78.93451135,35.98545882
3.71E+11,1.046455,0,90.62000275,-78.94435096,35.9901614
3.71E+11,0.405412,53.62731152,49.04000092,-78.90991749,35.99429973
3.71E+11,1.05485,13.1713555,84.33999634,-78.91283432,35.98182027
3.71E+11,1.056046,18.04961506,82.15000153,-78.91998861,35.97419721
3.71E+11,0.714413,63.44086022,65.87000275,-78.88273371,35.99989799
3.71E+11,0.685738,75.61576355,61.66999817,-78.88940023,36.00001732
3.71E+11,0.604393,69.48640483,60.22000122,-78.88180753,35.99260041
3.71E+11,0.755617,69.8212408,64.29000092,-78.87720685,35.98677939
3.71E+11,0.662885,71.90553746,58.29999924,-78.87317152,35.98005686
3.71E+11,0.658896,56.9870484,62.25999832,-78.8686807,36.00045423
3.71E+11,0.666354,53.19767442,67.13999939,-78.8665987,35.9872941
3.71E+11,0.778827,72.65469062,67.01999664,-78.87526444,35.9915803
3.71E+11,0.860054,81.72661871,69.70999908,-78.87609385,35.99746096
3.71E+11,0.53156,78.75706215,53.91999817,-78.89059429,35.99344063
3.71E+11,0.36741,88.85350318,43.20999908,-78.88954956,35.98681091
3.71E+11,0.691264,89.78032474,63.84000015,-78.89925132,35.98021488
3.71E+11,0.458997,83.50951374,48.45999908,-78.89999771,35.97339507
3.71E+11,0.819855,35.96214511,69.97000122,-78.90469176,35.9712845
3.71E+11,0.797337,63.00990099,70.37999725,-78.90981025,35.96665755
3.71E+11,0.782782,80.72601556,72.08999634,-78.88946963,35.97177444
3.71E+11,0.523759,77.32831609,55.43000031,-78.88466168,35.97816905
3.71E+11,0.604256,91.07142857,55.47000122,-78.9408338,36.0012675
3.71E+11,0.394118,75.10548523,42.86000061,-78.9404539,36.01267863
3.71E+11,0.323652,80.45977011,32.61000061,-78.94629352,36.01023767
3.71E+11,0.476014,70.84314649,50.56000137,-78.9507799,36.01076508
3.71E+11,0.651928,90.42553191,60.66999817,-78.95535577,36.00315489
3.71E+11,0.67518,0,63.77999878,-78.91566928,36.00684428
3.71E+11,0.984319,17.7916234,83.90000153,-78.88776574,36.08235058
3.71E+11,0.953767,35.4534005,88.88999939,-78.89994653,36.09986231
3.71E+11,1.103366,13.56321839,89.83999634,-78.92298932,36.07489442
3.71E+11,0.935656,8.861283644,81.83000183,-78.92229571,36.09319282
3.71E+11,0.894654,17.00819672,85.51999664,-78.91851126,36.1137441
3.71E+11,1.068514,3.292410714,86.44000244,-78.95766979,36.071607
3.71E+11,1.010037,7.8125,84.54000092,-78.96344471,36.08545042
3.71E+11,0.747754,30.74433657,71.22000122,-78.9183273,36.04371464
3.71E+11,0.692939,36.76177837,71.98999786,-78.94187263,36.03379182
3.71E+11,0.859366,60.9375,69.01999664,-78.91864768,36.03390484
3.71E+11,1.085551,41.44775248,88.66000366,-78.9713135,36.01694508
3.71E+11,0.706876,43.20407364,72.19999695,-78.96008238,36.02069777
3.71E+11,0.869305,33.04410701,80.01999664,-78.97840775,36.0477092
3.71E+11,0.682891,14.85549133,69.29000092,-78.96864847,36.03282282
3.71E+11,0.901471,10.78838174,79.58999634,-78.96473368,36.04130667
3.71E+11,1.087439,8.905852417,87.94000244,-78.95762662,36.05857513
3.71E+11,0.922806,9.154383243,85.44999695,-78.9453842,36.04860978
3.71E+11,0.838048,55.37563048,70.88999939,-78.88613455,36.06766424
3.71E+11,0.868299,65.06666667,75.73999786,-78.8750199,36.04000198
3.71E+11,0.94696,76.30878438,78.38999939,-78.87823386,36.03365542
3.71E+11,0.835505,66.7867036,70.19999695,-78.88652254,36.05059593
3.71E+11,0.840033,38.48372476,70.88999939,-78.91219129,36.06013808
3.71E+11,0.57332,71.62162162,64.43000031,-78.9145901,36.05021232
3.71E+11,0.926821,47.02495202,81.12000275,-78.93076679,36.06392348
3.71E+11,0.680667,52.93141593,71.69999695,-78.92392559,36.05288004
3.71E+11,0.548649,51.68674699,67.77999878,-78.93246551,36.05082383
3.71E+11,0.897439,21.89086294,78.18000031,-78.83660112,36.02221759
3.71E+11,0.90524,66.84350133,81.75,-78.85931742,36.01220683
3.71E+11,0.920544,31.09565217,83.09999847,-78.85483203,36.04329163
3.71E+11,0.851617,49.15773354,79.90000153,-78.84251652,36.03361343
3.71E+11,0.844253,55.75666164,74.13999939,-78.84866603,35.99889007
3.71E+11,0.745898,53.54239257,73.41999817,-78.84586139,35.99160239
3.71E+11,0.837337,52.98165138,73.63999939,-78.85113013,35.98180695
3.71E+11,0.942132,64.01718582,81.80000305,-78.85908235,35.97348191
3.71E+11,0.935838,18.46075173,82.73000336,-78.82097701,36.01228499
3.71E+11,0.794621,42.71356784,75.51999664,-78.83638804,35.97581384
3.71E+11,0.629451,14.92905614,71.01000214,-78.8076303,35.98714263
3.71E+11,0.648923,13.91927575,68.58999634,-78.82759443,35.98989004
3.71E+11,0.695296,4.250681199,72.66000366,-78.81167798,35.97389765
3.71E+11,0.966031,20.55114433,83.77999878,-78.81326896,35.95656667
3.71E+11,0.873087,39.55685891,82.04000092,-78.85169051,35.94771253
3.71E+11,0.690678,17.78151261,77.47000122,-78.82617191,35.93456517
3.71E+11,0.98227,7.744636316,80.01000214,-78.932641,35.96310444
3.71E+11,0.921427,9.288354898,79.08000183,-78.94024278,35.94098942
3.71E+11,0.978127,31.08108108,78.86000061,-78.942257,35.95501794
3.71E+11,0.950185,21.34502924,83.62999725,-78.95137509,35.94855411
3.71E+11,0.987491,3.947368421,79.66000366,-78.95722904,35.93721218
3.71E+11,0.776034,44.32907348,68.61000061,-78.88244962,35.9652651
3.71E+11,0.863162,41.33333333,73.01000214,-78.9008426,35.95783596
3.71E+11,0.874495,44.4588464,75.94000244,-78.91815724,35.95581689
3.71E+11,0.920839,6.940700809,82.36000061,-78.91640517,35.89778038
3.71E+11,1.007632,22.09543568,87.04000092,-78.90531536,35.89496788
3.71E+11,0.807398,12.95210166,79.41999817,-78.90805909,35.88174562
3.71E+11,0.720227,38.24657534,64.48000336,-78.93941779,35.9679464
3.71E+11,0.569181,53.52422907,53.93999863,-78.95066325,35.96448014
3.71E+11,0.482426,19.40532081,43.95000076,-78.95235328,35.97148471
3.71E+11,0.707448,61.39981977,61.79000092,-78.97119197,35.95814188
3.71E+11,0.46301,29.11330049,45.61000061,-78.96166856,35.95937928
3.71E+11,1.052558,1.900584795,88.52999878,-78.97886642,35.99501904
3.71E+11,0.910234,2.575660013,72.51000214,-78.95952188,35.97964637
3.71E+11,0.896782,21.58167036,73.73000336,-78.98481277,35.96643061
3.71E+11,0.850721,8.763277693,73.01000214,-79.00096892,35.92357953
3.71E+11,0.889008,40.71573261,72.44000244,-78.98560992,35.94533335
3.71E+11,1.009655,8.885163453,83.40000153,-78.97795279,35.92711239
3.71E+11,1.04142,36.34377276,83.41000366,-78.97281259,35.9033351
3.71E+11,1.08842,35.95068138,91.73000336,-78.99290699,35.87854232
3.71E+11,1.025938,3.976143141,83.83999634,-78.98976682,35.89821934
3.71E+11,1.076318,4.67404674,88.55000305,-78.95810003,35.88321462
3.71E+11,0.900007,4.471903501,81.26000214,-78.93092616,35.88194935
3.71E+11,0.606078,21.44886364,60,-78.94858209,35.90541503
3.71E+11,0.736309,27.72795217,67.55999756,-78.92628536,35.90655887
3.71E+11,0.675429,29.88764045,65.68000031,-78.92498671,35.91311583
3.71E+11,0.692957,19.58708311,63.13000107,-78.92066611,35.92153273
3.71E+11,0.899395,15.47518923,81.52999878,-78.94679155,35.91914586
3.71E+11,0.732083,27.06367925,65.84999847,-78.93719692,35.91682012
3.71E+11,0.782725,7.073954984,68.08000183,-78.93140217,35.93614511
3.71E+11,0.863743,22.92490119,73.84999847,-78.94154598,35.92500813
3.71E+11,0.814158,5.628847845,68.41000366,-78.93217396,35.92661731
3.71E+11,0.762898,20.98512057,68.55000305,-78.91648173,35.93514892
3.71E+11,0.728674,16.43035863,69.94000244,-78.90302379,35.92940893
3.71E+11,0.947298,27.81954887,80.56999969,-78.89499009,35.92300065
3.71E+11,0.598766,47.90136411,58.49000168,-78.91161586,35.94627425
3.71E+11,0.878351,38.84958474,71.95999908,-78.89235133,35.94508285
3.71E+11,0.788143,50.07974482,73.47000122,-78.87721375,35.94039015
3.71E+11,0.757434,29.52054795,71.27999878,-78.8983602,35.89438982
